Test,TestNumber,Display,Trial,TrueValue,Subject,Response
"Veritcal Distance, Aligned",1,1,D,0.8,89,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,90,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,91,0.7
"Veritcal Distance, Aligned",1,1,D,0.8,92,0.75
"Veritcal Distance, Aligned",2,2,B,0.2,1,0.1
"Veritcal Distance, Aligned",2,2,B,0.2,2,0.18
"Veritcal Distance, Aligned",2,2,B,0.2,3,0.15
"Veritcal Distance, Aligned",2,2,B,0.2,4,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,5,0.3
"Veritcal Distance, Aligned",2,2,B,0.2,6,0.15
"Veritcal Distance, Aligned",2,2,B,0.2,7,0.1
"Veritcal Distance, Aligned",2,2,B,0.2,8,0.1
"Veritcal Distance, Aligned",2,2,B,0.2,9,0.1
"Veritcal Distance, Aligned",2,2,B,0.2,10,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,11,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,12,0.15
"Veritcal Distance, Aligned",2,2,B,0.2,13,0.15
"Veritcal Distance, Aligned",2,2,B,0.2,14,0.3
"Veritcal Distance, Aligned",2,2,B,0.2,15,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,16,0.1
"Veritcal Distance, Aligned",2,2,B,0.2,17,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,18,0.15
"Veritcal Distance, Aligned",2,2,B,0.2,19,0.1
"Veritcal Distance, Aligned",2,2,B,0.2,20,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,21,0.25
"Veritcal Distance, Aligned",2,2,B,0.2,22,0.1
"Veritcal Distance, Aligned",2,2,B,0.2,23,0.1
"Veritcal Distance, Aligned",2,2,B,0.2,24,0.1
"Veritcal Distance, Aligned",2,2,B,0.2,25,0.1
"Veritcal Distance, Aligned",2,2,B,0.2,26,0.25
"Veritcal Distance, Aligned",2,2,B,0.2,27,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,28,0.15
"Veritcal Distance, Aligned",2,2,B,0.2,29,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,30,0.25
"Veritcal Distance, Aligned",2,2,B,0.2,31,0.15
"Veritcal Distance, Aligned",2,2,B,0.2,32,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,33,0.1
"Veritcal Distance, Aligned",2,2,B,0.2,34,0.15
"Veritcal Distance, Aligned",2,2,B,0.2,35,0.1
"Veritcal Distance, Aligned",2,2,B,0.2,36,0.15
"Veritcal Distance, Aligned",2,2,B,0.2,37,0.1
"Veritcal Distance, Aligned",2,2,B,0.2,38,0.25
"Veritcal Distance, Aligned",2,2,B,0.2,39,0.33
"Veritcal Distance, Aligned",2,2,B,0.2,40,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,41,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,42,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,43,0.1
"Veritcal Distance, Aligned",2,2,B,0.2,44,0.5
"Veritcal Distance, Aligned",2,2,B,0.2,45,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,46,0.25
"Veritcal Distance, Aligned",2,2,B,0.2,47,0.25
"Veritcal Distance, Aligned",2,2,B,0.2,48,0.25
"Veritcal Distance, Aligned",2,2,B,0.2,49,0.15
"Veritcal Distance, Aligned",2,2,B,0.2,50,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,51,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,52,0.25
"Veritcal Distance, Aligned",2,2,B,0.2,53,0.15
"Veritcal Distance, Aligned",2,2,B,0.2,54,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,55,0.1
"Veritcal Distance, Aligned",2,2,B,0.2,56,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,57,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,58,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,59,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,60,0.15
"Veritcal Distance, Aligned",2,2,B,0.2,61,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,62,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,63,0.1
"Veritcal Distance, Aligned",2,2,B,0.2,64,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,65,0.25
"Veritcal Distance, Aligned",2,2,B,0.2,66,0.15
"Veritcal Distance, Aligned",2,2,B,0.2,67,0.1
"Veritcal Distance, Aligned",2,2,B,0.2,68,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,69,0.3
"Veritcal Distance, Aligned",2,2,B,0.2,70,0.6
"Veritcal Distance, Aligned",2,2,B,0.2,71,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,72,0.5
"Veritcal Distance, Aligned",2,2,B,0.2,73,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,74,0.15
"Veritcal Distance, Aligned",2,2,B,0.2,75,0.1
"Veritcal Distance, Aligned",2,2,B,0.2,76,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,77,0.25
"Veritcal Distance, Aligned",2,2,B,0.2,78,0.23
"Veritcal Distance, Aligned",2,2,B,0.2,79,0.15
"Veritcal Distance, Aligned",2,2,B,0.2,80,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,81,0.1
"Veritcal Distance, Aligned",2,2,B,0.2,82,0.15
"Veritcal Distance, Aligned",2,2,B,0.2,83,0.12
"Veritcal Distance, Aligned",2,2,B,0.2,84,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,85,0.1
"Veritcal Distance, Aligned",2,2,B,0.2,86,0.25
"Veritcal Distance, Aligned",2,2,B,0.2,87,0.15
"Veritcal Distance, Aligned",2,2,B,0.2,88,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,89,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,90,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,91,0.2
"Veritcal Distance, Aligned",2,2,B,0.2,92,0.2
"Veritcal Distance, Aligned",2,2,C,0.9,1,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,2,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,3,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,4,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,5,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,6,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,7,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,8,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,9,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,10,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,11,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,12,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,13,0.71
