Date,Open,High,Low,Close,Volume,Adj Close
2/23/1993,114.75,115,111.5,113.25,83292800,2.66
2/22/1993,115.25,116.75,113.5,114.5,106172800,2.69
2/19/1993,110.75,115.5,110.12,115.37,131974400,2.71
2/18/1993,110.75,112,107.25,110,167945600,2.58
2/17/1993,106.5,108.75,104.25,108.5,156316800,2.55
2/16/1993,110.25,110.75,104.5,105.87,194908800,2.49
2/12/1993,112.5,112.75,110.75,111,61459200,2.61
2/11/1993,114.75,115.75,111.75,112.37,91852800,2.64
2/10/1993,112.5,114.75,112.25,114.5,146563200,2.69
2/9/1993,111,112.25,108.25,110.5,166931200,2.6
2/8/1993,107,107.87,105,106.12,119747200,2.49
2/5/1993,109,110.5,105.5,106.87,141500800,2.51
2/4/1993,109.25,110.5,106,109.25,171360000,2.57
2/3/1993,111.12,111.75,108.25,108.87,100979200,2.56
2/2/1993,111.25,111.5,109.25,111.25,64544000,2.61
2/1/1993,107,111.37,107,111.25,102080000,2.61
1/29/1993,109,110.5,106,106.75,110473600,2.51
1/28/1993,112.25,112.75,108.25,109,144377600,2.56
1/27/1993,114.75,115,111.25,112.62,95401600,2.64
1/26/1993,112.75,116.75,112.5,114.37,121520000,2.69
1/25/1993,111.75,114.5,111.5,112.75,68403200,2.65
1/22/1993,112,114.75,110.75,111.5,91292800,2.62
1/21/1993,112.5,113.25,110.75,112,97369600,2.63
1/20/1993,114.75,115,112.5,112.62,93238400,2.64
1/19/1993,116.5,118,114.25,114.75,130131200,2.69
1/18/1993,111.75,117,111.5,116.62,147065600,2.74
1/15/1993,112,114.5,109.5,111.75,212144000,2.62
1/14/1993,110,115.5,109.87,112.75,235817600,2.65
1/13/1993,102.25,111.5,99.25,110.12,343283200,2.58
1/12/1993,101,103.25,100,102,151785600,2.39
1/11/1993,99,102.75,98.5,102.37,105164800,2.4
1/8/1993,99.75,101.25,97.75,98.75,121020800,2.32
1/7/1993,98.5,103,97.25,99.62,266057600,2.34
